k	(danh từ) k.
kelp	(danh từ) tro tảo bẹ.
kelpie	(danh từ) (ê-cốt) (thần thoại, thần học) hà bá, thuỷ tinh (thường biến dạng thành ngựa, thích dìm chết những khách qua sông).
kelpie	(danh từ) (Úc) chó kenpi (một giống chó lai chăn cừu).
kelpy	(danh từ) (ê-cốt) (thần thoại, thần học) hà bá, thuỷ tinh (thường biến dạng thành ngựa, thích dìm chết những khách qua sông).
kelpy	(danh từ) (Úc) chó kenpi (một giống chó lai chăn cừu).
kelt	(danh từ) (xem) celt.
kelt	(danh từ) cá hồi sau khi đẻ.
kelter	(danh từ) xem kilter.
keltic	(danh từ) tiếng xen-tơ.
kelvin	(danh từ) kilôoat giờ.
kelvin	(danh từ) thang nhiệt kenvin.
kemp	(danh từ) lông len thô.
kempt	(tính từ) (tóc) được chải gọn ghẽ.
kempy	(tính từ) có lông len thô.
ken	(danh từ) phạm vi hiểu biết, tầm mắt.
ken	(ngoại động từ) (ớ-cốt) nhận ra, nhìn ra.
ken	(ngoại động từ) biết.
kenaf	(danh từ) cây dâm bụt đông ấn độ (trồng lấy sợi bện thừng).
kendo	(danh từ) thuật đánh kiếm của người nhật với gươm bằng tre, cầm hai tay.
kenedy round	(danh từ) (kinh tế học) vòng đàm phán kenedy.
kennel	(danh từ) cống rãnh.
kennel	(danh từ) cũi chó.
kennel	(danh từ) nhà ở tồi tàn.
kennel	(nội động từ) ở trong cũi (chó).
kennel	(nội động từ) chui vào cũi (chó).
kennel ration	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) món thịt.
kenning	(danh từ) từ hoặc nhóm từ ẩn dụ (dùng trong (thơ ca) của tiếng anh cổ).
keno	(danh từ) (số nhiều kenos) (từ mỹ, nghĩa mỹ) trò hơi giống như bingo.
kenosis	(danh từ) tính chất của chúa giêxu khi dời khỏi đặc tính thượng đế để thành người.
kenotron	(danh từ) (vật lí) kênôtron (đền điện tử ).
kenspeckle	(tính từ) rõ ràng; mồn một; rõ mồn một; dễ nhận thấy.
kentish	(tính từ) (thuộc) vùng ken-tơ (anh).
kentish	(tính từ) tràng vỗ tay hoan nghênh kéo dài.
kentish	(tính từ) tiếng la ó phản đối; sự biểu tình phản đối.
kentishman	(danh từ) người dân ở vùng kent (đặc biệt là người ở miền tây sông medway).
kentledge	(danh từ) (hàng hải) đồ dằn đặt thường xuyên (cho thuyền, tàu khỏi tròng trành).
kenyan	(tính từ) thuộc nước kenya ở đông châu phi.
kenyan	(danh từ) người dân kenya.
kenyan	(danh từ) người có nguồn gốc kenya.
kepi	(danh từ) mũ kê-pi.
kept	(ngoại động từ) dạng quá khứ & quá khứ phân từ của keep.
keramic	(tính từ) xem ceramic.
keratin	(danh từ) keratin.
keratinization	(danh từ) sự làm thành keratin; sự keratin hoá; sự trở thành keratin; sự hoá sừng.
keratinize	(ngoại động từ) làm thành keratin; keratin hoá; hoá sừng.
keratinize	(nội động từ) trở thành keratin; hoá sừng.
keratinous	(tính từ) xem keratin.
keratose	(danh từ) keratoza.
keratosis	(danh từ) (số nhiều keratoses) vùng da cứng thành chai.
keratotic	(tính từ) thuộc vùng da cứng thành chai.
kerb	(danh từ) lề đường (thường lát đá).
